COUNTY,Date,test_date,new_positives,county
Alpena,4/25/2020,2020-04-25,3,Alpena
Alpena,4/26/2020,2020-04-26,1,Alpena
Alpena,4/27/2020,2020-04-27,8,Alpena
Alpena,4/28/2020,2020-04-28,5,Alpena
Alpena,4/29/2020,2020-04-29,0,Alpena
Alpena,4/30/2020,2020-04-30,0,Alpena
Alpena,5/1/2020,2020-05-01,0,Alpena
Alpena,5/2/2020,2020-05-02,2,Alpena
Alpena,5/3/2020,2020-05-03,0,Alpena
Alpena,5/4/2020,2020-05-04,0,Alpena
Alpena,5/5/2020,2020-05-05,0,Alpena
Alpena,5/6/2020,2020-05-06,0,Alpena
Alpena,5/7/2020,2020-05-07,0,Alpena
Alpena,5/8/2020,2020-05-08,0,Alpena
Alpena,5/9/2020,2020-05-09,0,Alpena
Alpena,5/10/2020,2020-05-10,0,Alpena
Alpena,5/11/2020,2020-05-11,0,Alpena
Alpena,5/12/2020,2020-05-12,1,Alpena
Alpena,5/13/2020,2020-05-13,0,Alpena
Alpena,5/14/2020,2020-05-14,1,Alpena
Alpena,5/15/2020,2020-05-15,1,Alpena
Alpena,5/16/2020,2020-05-16,0,Alpena
Alpena,5/17/2020,2020-05-17,2,Alpena
Alpena,5/18/2020,2020-05-18,0,Alpena
Alpena,5/19/2020,2020-05-19,0,Alpena
Alpena,5/20/2020,2020-05-20,1,Alpena
Alpena,5/21/2020,2020-05-21,0,Alpena
Alpena,5/22/2020,2020-05-22,0,Alpena
Alpena,5/23/2020,2020-05-23,0,Alpena
Alpena,5/24/2020,2020-05-24,0,Alpena
Alpena,5/25/2020,2020-05-25,0,Alpena
Alpena,5/26/2020,2020-05-26,0,Alpena
Alpena,5/27/2020,2020-05-27,0,Alpena
Alpena,5/28/2020,2020-05-28,0,Alpena
Alpena,5/29/2020,2020-05-29,0,Alpena
Alpena,5/30/2020,2020-05-30,0,Alpena
Alpena,5/31/2020,2020-05-31,0,Alpena
Alpena,6/1/2020,2020-06-01,2,Alpena
Alpena,6/2/2020,2020-06-02,0,Alpena
Alpena,6/3/2020,2020-06-03,2,Alpena
Alpena,6/4/2020,2020-06-04,0,Alpena
Alpena,6/5/2020,2020-06-05,7,Alpena
Alpena,6/6/2020,2020-06-06,0,Alpena
Alpena,6/7/2020,2020-06-07,0,Alpena
Alpena,6/8/2020,2020-06-08,2,Alpena
Alpena,6/9/2020,2020-06-09,0,Alpena
Alpena,6/10/2020,2020-06-10,0,Alpena
Alpena,6/11/2020,2020-06-11,0,Alpena
Alpena,6/12/2020,2020-06-12,1,Alpena
Alpena,6/13/2020,2020-06-13,0,Alpena
Alpena,6/14/2020,2020-06-14,0,Alpena
Alpena,6/15/2020,2020-06-15,0,Alpena
Alpena,6/16/2020,2020-06-16,0,Alpena
Alpena,6/17/2020,2020-06-17,0,Alpena
Alpena,6/18/2020,2020-06-18,0,Alpena
Alpena,6/19/2020,2020-06-19,2,Alpena
Alpena,6/20/2020,2020-06-20,0,Alpena
Alpena,6/21/2020,2020-06-21,0,Alpena
Alpena,6/22/2020,2020-06-22,1,Alpena
Alpena,6/23/2020,2020-06-23,2,Alpena
Alpena,6/24/2020,2020-06-24,0,Alpena
Alpena,6/25/2020,2020-06-25,1,Alpena
Alpena,6/26/2020,2020-06-26,2,Alpena
Alpena,6/27/2020,2020-06-27,0,Alpena
Alpena,6/28/2020,2020-06-28,0,Alpena
Alpena,6/29/2020,2020-06-29,0,Alpena
Alpena,6/30/2020,2020-06-30,0,Alpena
Alpena,7/1/2020,2020-07-01,0,Alpena
Alpena,7/2/2020,2020-07-02,0,Alpena
Alpena,7/3/2020,2020-07-03,0,Alpena
Alpena,7/4/2020,2020-07-04,0,Alpena
Alpena,7/5/2020,2020-07-05,0,Alpena
Alpena,7/6/2020,2020-07-06,0,Alpena
Antrim,3/1/2020,2020-03-01,0,Antrim
Antrim,3/2/2020,2020-03-02,0,Antrim
Antrim,3/3/2020,2020-03-03,0,Antrim
Antrim,3/4/2020,2020-03-04,0,Antrim
Antrim,3/5/2020,2020-03-05,0,Antrim
Antrim,3/6/2020,2020-03-06,0,Antrim
Antrim,3/7/2020,2020-03-07,0,Antrim
Antrim,3/8/2020,2020-03-08,0,Antrim
Antrim,3/9/2020,2020-03-09,0,Antrim
Antrim,3/10/2020,2020-03-10,0,Antrim
Antrim,3/11/2020,2020-03-11,0,Antrim
Antrim,3/12/2020,2020-03-12,0,Antrim
Antrim,3/13/2020,2020-03-13,0,Antrim
Antrim,3/14/2020,2020-03-14,0,Antrim
Antrim,3/15/2020,2020-03-15,0,Antrim
Antrim,3/16/2020,2020-03-16,2,Antrim
Antrim,3/17/2020,2020-03-17,0,Antrim
Antrim,3/18/2020,2020-03-18,0,Antrim
Antrim,3/19/2020,2020-03-19,0,Antrim
Antrim,3/20/2020,2020-03-20,0,Antrim
Antrim,3/21/2020,2020-03-21,2,Antrim
Antrim,3/22/2020,2020-03-22,1,Antrim
Antrim,3/23/2020,2020-03-23,1,Antrim
Antrim,3/24/2020,2020-03-24,0,Antrim
Antrim,3/25/2020,2020-03-25,0,Antrim
Antrim,3/26/2020,2020-03-26,0,Antrim
Antrim,3/27/2020,2020-03-27,0,Antrim
Antrim,3/28/2020,2020-03-28,2,Antrim
Antrim,3/29/2020,2020-03-29,0,Antrim
Antrim,3/30/2020,2020-03-30,0,Antrim
Antrim,3/31/2020,2020-03-31,0,Antrim
Antrim,4/1/2020,2020-04-01,0,Antrim
Antrim,4/2/2020,2020-04-02,0,Antrim
