OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
49,2020/05/02 14:00:00+00,121,1885,3183,2237,160,79,480,187,622,59,976,4,468,931,80,4919,7041,57,32,164,39,225,452,72,0
50,2020/05/03 14:00:00+00,124,1959,3301,2319,162,95,494,188,637,71,1004,4,479,969,91,5150,7333,60,33,165,44,232,473,75,0
51,2020/05/04 14:00:00+00,126,2018,3448,2411,171,98,506,194,651,75,1038,4,491,992,95,5384,7598,63,35,168,45,237,480,80,0
52,2020/05/05 14:00:00+00,129,2045,3430,2609,174,99,513,195,660,76,1071,4,499,1010,95,5541,7831,65,37,170,45,238,500,81,0
53,2020/05/06 14:00:00+00,129,2085,3527,2752,184,101,521,200,670,79,1108,4,532,1061,94,5790,8135,67,39,186,45,251,517,86,0
54,2020/05/07 14:00:00+00,143,2194,3662,2856,188,105,534,208,698,85,1151,4,552,1098,98,6032,8516,68,40,193,52,260,541,96,0
55,2020/05/08 14:00:00+00,143,2290,3763,2941,191,107,542,211,716,86,1182,5,572,1138,98,6316,8901,70,41,207,55,259,553,98,0
56,2020/05/09 14:00:00+00,144,2372,3737,3208,202,110,551,219,729,91,1213,6,589,1170,102,6555,9205,72,42,234,58,265,558,102,0
57,2020/05/10 14:00:00+00,146,2463,3862,3317,206,133,560,242,748,95,1251,6,605,1205,113,6762,9496,80,43,241,60,276,571,106,0
58,2020/05/11 14:00:00+00,146,2492,3948,3353,209,167,583,267,756,98,1267,6,605,1223,116,6909,9687,100,50,244,61,283,690,113,0
59,2020/05/12 14:00:00+00,148,2520,4051,3404,211,174,589,270,761,102,1282,6,614,1234,120,7130,9892,103,51,246,61,284,694,114,0
60,2020/05/13 14:00:00+00,149,2596,4160,3476,214,177,595,271,778,102,1302,6,629,1258,123,7283,10072,104,51,254,62,287,738,125,0
61,2020/05/14 14:00:00+00,150,2661,4290,3505,225,183,619,291,796,104,1325,6,663,1285,125,7548,10449,106,51,271,64,305,754,127,0
62,2020/05/15 14:00:00+00,151,2752,4399,3606,228,190,635,300,829,107,1364,6,671,1313,131,7759,10791,108,54,299,65,320,777,131,0
63,2020/05/16 14:00:00+00,160,2801,4549,3719,237,200,633,308,844,111,1402,7,678,1352,138,7988,11031,112,55,306,68,332,801,136,0
64,2020/05/17 14:00:00+00,161,2856,4624,3798,241,191,646,308,859,111,1423,6,687,1378,137,8206,11316,125,57,313,68,338,818,137,0
65,2020/05/18 14:00:00+00,164,2893,4749,3830,245,200,703,318,867,122,1460,7,695,1416,140,8417,11608,129,61,326,68,343,837,164,0
66,2020/05/19 14:00:00+00,166,2981,4920,4002,255,208,712,323,895,122,1491,7,709,1465,144,8950,12240,133,62,338,68,352,839,164,0
67,2020/05/20 14:00:00+00,166,3033,5025,4152,259,210,720,328,921,122,1533,7,721,1494,145,9052,12446,135,64,340,69,364,848,169,0
68,2020/05/21 14:00:00+00,166,3132,5135,4339,278,216,733,331,943,124,1568,7,737,1548,143,9260,12830,141,71,357,70,377,844,181,0
69,2020/05/22 14:00:00+00,168,3207,5170,4492,291,223,755,339,956,126,1625,7,746,1586,146,9432,13077,141,71,370,73,389,854,180,0
70,2020/05/23 14:00:00+00,168,3282,5290,4673,298,231,765,342,969,126,1661,7,764,1638,148,9699,13324,146,71,379,77,398,859,180,0
71,2020/05/24 14:00:00+00,170,3307,5373,4782,304,240,783,345,989,127,1696,7,780,1667,152,9922,13521,146,72,393,79,408,867,183,0
72,2020/05/25 14:00:00+00,176,3357,5476,4888,307,241,802,348,997,128,1731,10,789,1716,155,10111,13726,151,72,395,86,413,892,185,0
73,2020/05/26 14:00:00+00,176,3394,5498,4997,308,243,811,353,1001,130,1746,10,795,1732,158,10291,13819,151,73,400,86,413,908,194,0
74,2020/05/27 14:00:00+00,177,3448,5562,5054,314,243,817,354,1008,133,1786,10,801,1760,160,10467,14100,151,73,400,84,418,910,193,0
75,2020/05/28 14:00:00+00,178,3556,5678,5203,320,245,840,356,1027,136,1824,10,827,1815,165,10752,14508,152,73,417,87,423,919,198,0
